dataset,ratio,algorithm,l0.mean,l0.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,eigdiff.mean,eigdiff.sd,eigcos.mean,eigcos.sd,time.mean,time.sd
nonsparse,0.1,emp,0,0,5.18394601393007,0.0918065248360882,0.141448599194044,0.185575980341189,0.0148401942830184,0.000127094374665883,2.02641874694347,0.230437047078302,0.454639679650625,0.187006603724725,0.00833333333336365,0.000577350269175973
nonsparse,0.1,diag,0.99,0,30.6552466547841,0.217906817937422,2401.2240088013,64.4536802447616,0.0261620560219756,2.24415689834199e-05,4.85247463885099,0.11235963485166,0.246002911039268,0.059318248131761,0.000999999999976353,0
nonsparse,0.1,oas,0,0,7.18408857562851,0.0416681708655877,284.791395703204,17.3754679772484,0.0135812202463959,0.000204519704735192,0.2081373653808,0.20904392540784,0.454639679650624,0.187006603724724,0.0113333333333685,0.00152752523159102
nonsparse,0.1,ss,0,0,5.49064184280736,0.0470683686387341,147.034852265523,11.3893394104386,0.0129290661489828,0.00017491374122726,0.168085411460954,0.0952752455083945,0.35785447692707,0.172290171139237,0.121000000000019,0.0217025344142214
nonsparse,0.1,ppca,0,0,5.19059973645956,0.092404585744081,0.153041204391365,0.208255134700012,0.0148403632034771,0.000126966343634412,2.02641874694347,0.230437047078301,0.454639679650627,0.18700660372473,0.173333333333327,0.0161967074843519
nonsparse,0.1,spc,0.142666666666667,0.0135651514305345,19.3865886916037,0.358694300119459,42.187576364301,11.1108695383633,0.0245381834377497,0.000403363695637473,0.371402542709513,0.221053106733613,0.322498306877159,0.0643785196330239,22.2113333333334,0.52032810161804
nonsparse,0.1,quic,0,0,16.7769953175773,0.147115397860525,1226.13261720185,44.7699106627968,0.0158814318487681,0.000109869739044388,0.111475295555354,0.0654971529048689,0.455919041323249,0.302357556900464,0.188333333333352,0.0221885856542974
nonsparse,0.5,emp,0,0,31.3934280216244,1.26135856824395,1.41043734738234,1.99137290773329,0.0337262548596027,0.00058561211107134,8.22118180378162,0.61859737216248,0.0965280996802152,0.0186753673156341,0.00233333333327816,0.000577350269175973
nonsparse,0.5,diag,0.99,0,31.0802127951398,0.400461326939278,2423.7356720438,134.928202012499,0.0265226665258211,0.000110292545284518,4.28769563625468,0.0610047486445254,0.112635478178045,0.106625474650548,0.000333333333325451,0.000577350269175973
nonsparse,0.5,oas,0,0,30.4532285160595,1.55714150062949,2650.1961423711,363.402442872065,0.0241827629263552,0.000328468584655541,0.478241303923495,0.436105762863012,0.0965280996802146,0.0186753673156351,0.00266666666660361,0.000577350269175973
nonsparse,0.5,ss,0,0,17.8434076556071,0.798853916613869,996.524794313929,167.55151508966,0.0211555562199273,0.000190713769050377,1.05922605725137,0.623142535548316,0.135684777556913,0.058995502655193,0.0326666666666521,0.00208166599954434
nonsparse,0.5,ppca,0,0,30.2653870058135,0.568583100792611,601.579313014687,178.978176168994,0.0352779114388791,0.000364141948694691,8.22118180378157,0.61859737216246,0.0965280996802142,0.0186753673156371,0.132333333333236,0.0116761865921625
nonsparse,0.5,spc,0.000666666666666667,0.000832666399786453,29.6756842532092,0.332845443611815,380.132875986056,154.286405175265,0.0341220726722286,0.000155215193817372,7.35260874002541,0.538164029406101,0.179759323304737,0.0891559216835581,6.43133333333344,0.315547672045426
nonsparse,0.5,quic,0,0,18.2297024711564,0.383957596136462,286.822713821381,44.6728076284648,0.0301603798000029,0.000578949314957191,7.38350411435122,0.637287333711676,0.102629541354972,0.0146088499705772,0.283333333333379,0.022300971578267
nonsparse,1,emp,0,0,123.713588027234,1.70982187161008,0.502638567684134,0.595587070026759,0.0463131113132239,0.00116806780713628,13.2818013918131,2.41686577335351,0.319316246482955,0.282648025673555,0.00733333333331151,0.00057735026924161
nonsparse,1,diag,0.99,0,31.2816280111088,0.96829848446886,2361.78013145312,277.567254839584,0.026968543671286,9.68613449330595e-05,3.30155949516932,0.384104867748561,0.161279238115055,0.168246772731775,0.000666666666650902,0.000577350269175973
nonsparse,1,oas,0,0,44.8266786787685,0.592918962719623,4937.40098602981,237.448158503637,0.02794900769244,0.000479884565094355,1.86743293806476,1.35667363327244,0.319316246482954,0.282648025673555,0.0020000000000285,1.31274252723904e-13
nonsparse,1,ss,0,0,24.3073681316359,0.556825683591933,1703.60286764136,106.824733882531,0.0237650585742763,0.000411070501618577,1.75957286277829,1.03037609485776,0.286518785460333,0.317675801401801,0.0209999999999582,0.000999999999976353
nonsparse,1,ppca,0,0,54.832337550522,6.49461774332885,5024.74751002525,1888.95402481953,0.0436572811110626,0.00328492840382267,13.2818013918131,2.41686577335353,0.319316246482954,0.282648025673556,0.116333333333387,0.00152752523173987
nonsparse,1,spc,0,0,54.0114487898567,6.84921252397639,4812.49105474988,1951.59052093027,0.0434099807585846,0.0030843203029592,13.2630457969097,2.42703452697726,0.311567459860089,0.275419616209955,4.42233333333343,0.238917000929793
nonsparse,1,quic,0,0,31.0789633999285,0.517448630116297,217.987271535242,29.6227389673651,0.0417366016282722,0.00118515207766028,12.3615308439594,2.40375550313975,0.322117354186023,0.281119471486787,0.493000000000014,0.0572974694031411
nonsparse,2,emp,0,0,Inf,NA,7.36308240932197,5.89557021530596,0.0675257429909606,0.00427142536531756,23.3425525380864,6.92678404401802,0.107510201873187,0.109717633756703,0.00633333333341094,0.000577350269175973
nonsparse,2,diag,0.99,0,33.6016120414633,2.78131350971204,2721.21262433713,683.987636759495,0.0280853554903967,0.000458589051566497,3.07658299859446,0.663170909541953,0.18363833815968,0.156579174648493,0.000333333333401242,0.000577350269307248
